date,hotel,location,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,sunshine_duration
2015-07-01,Resort Hotel,Algarve,24.7,18.7,22.0,0.0,0.0,0.0,0.0,30.4,44.3,297,26.91,45859.95
2015-07-02,Resort Hotel,Algarve,26.2,18.5,22.9,0.0,0.0,0.0,0.0,28.1,38.9,323,30.82,48470.25
2015-07-03,Resort Hotel,Algarve,26.2,19.7,23.5,0.0,0.0,0.0,0.0,29.1,39.6,316,30.52,48581.93
2015-07-04,Resort Hotel,Algarve,27.7,20.7,24.7,0.0,0.0,0.0,0.0,28.4,37.1,334,30.14,48459.01
2015-07-05,Resort Hotel,Algarve,30.1,22.5,26.5,0.0,0.0,0.0,0.0,27.8,37.4,342,29.72,48302.64
2015-07-06,Resort Hotel,Algarve,27.8,22.9,26.0,0.0,0.0,0.0,0.0,23.2,31.7,343,29.7,48298.61
2015-07-07,Resort Hotel,Algarve,30.9,22.7,27.5,0.0,0.0,0.0,0.0,29.1,38.9,334,29.88,48293.71
2015-07-08,Resort Hotel,Algarve,29.9,22.1,26.4,0.0,0.0,0.0,0.0,28.3,38.9,323,30.39,48287.76
2015-07-09,Resort Hotel,Algarve,26.5,20.5,23.8,0.0,0.0,0.0,0.0,26.0,36.0,296,30.46,48280.84
2015-07-10,Resort Hotel,Algarve,27.5,18.9,23.3,0.0,0.0,0.0,0.0,27.8,37.8,317,29.65,48062.25
2015-07-11,Resort Hotel,Algarve,29.9,19.9,25.2,0.0,0.0,0.0,0.0,31.1,41.8,330,30.26,48091.6
2015-07-12,Resort Hotel,Algarve,28.8,20.3,25.0,0.0,0.0,0.0,0.0,28.6,41.0,325,30.47,48084.97
2015-07-13,Resort Hotel,Algarve,28.1,20.3,25.1,0.0,0.0,0.0,0.0,22.7,30.6,318,30.49,48077.21
2015-07-14,Resort Hotel,Algarve,28.6,21.5,25.7,0.0,0.0,0.0,0.0,27.0,35.6,319,29.22,47811.16
2015-07-15,Resort Hotel,Algarve,29.3,23.0,26.7,0.0,0.0,0.0,0.0,30.3,36.4,332,29.42,47696.04
2015-07-16,Resort Hotel,Algarve,30.1,23.9,27.5,0.0,0.0,0.0,0.0,28.8,44.3,355,27.73,46843.62
2015-07-17,Resort Hotel,Algarve,28.0,24.1,25.8,0.0,0.0,0.0,0.0,25.2,33.5,354,27.4,47576.3
2015-07-18,Resort Hotel,Algarve,28.3,21.7,25.3,0.0,0.0,0.0,0.0,29.4,41.4,315,29.12,47671.51
2015-07-19,Resort Hotel,Algarve,28.3,21.9,25.3,0.0,0.0,0.0,0.0,29.6,40.0,318,29.05,47460.17
2015-07-20,Resort Hotel,Algarve,28.8,22.2,25.8,0.0,0.0,0.0,0.0,25.0,34.6,317,29.05,47453.19
2015-07-21,Resort Hotel,Algarve,29.5,22.8,26.4,0.0,0.0,0.0,0.0,26.9,35.6,323,28.82,47445.46
2015-07-22,Resort Hotel,Algarve,32.0,22.6,27.5,0.0,0.0,0.0,0.0,29.0,38.9,333,29.36,47436.95
2015-07-23,Resort Hotel,Algarve,30.3,21.6,26.1,0.0,0.0,0.0,0.0,32.6,45.7,320,29.44,47427.56
2015-07-24,Resort Hotel,Algarve,27.1,20.7,24.0,0.0,0.0,0.0,0.0,32.6,44.6,317,27.1,47236.69
2015-07-25,Resort Hotel,Algarve,27.3,18.3,23.4,0.0,0.0,0.0,0.0,29.2,39.6,324,29.08,47230.36
2015-07-26,Resort Hotel,Algarve,27.8,21.4,25.2,0.0,0.0,0.0,0.0,28.5,39.2,329,28.73,47223.19
